RecordID,DateOfRecord,UserID,FullName,Age,Gender,EmailAddress,Income,MarritalStatus,CountryID,CountryName,Region,ZipCode,RegisteredDate,LastOnline,GameID,GameName,GamePlatForm,GameCategories,ReleaseDate,PaymentType,IncomeByAds,IncomeByPurchase,IncomeBoughtIngameItems,ModifiedDate
13666,2017-10-23,16157,Susan Austin,48,Female,qsimpson@hotmail.com,40000,Single,6,Hong Kong,Asia,38668,2016-08-22,2017-09-06,21555,"Anderson, Montgomery and Davidson yRm_2370",SmartPhone/Tablet,Simulation games,2015-07-27,Free,496.11,0.0,90.55,2021-08-31 13:29:48
82566,2019-03-01,16681,Tracy Collier,22,Female,jennifer78@hotmail.com,140000,Single,18,France,Europe,43457,2016-04-18,2018-11-04,20468,Miller LLC vYK_9632,PlayStation,Strategy games,2015-02-14,Free,382.34,0.0,729.79,2021-08-31 13:29:48
23436,2019-04-17,16026,Travis Morris,38,Female,ajones@yahoo.com,75000,Single,11,Germany,Europe,18446,2016-02-06,2019-01-04,21668,"Brown, Roberts and Hess DUl_8212",PlayStation,Role-playing games,2015-10-29,Free,121.26,0.0,71.03,2021-08-31 13:29:48
77908,2018-04-22,16414,Andrea Smith DDS,30,Female,brandondunlap@hotmail.com,185000,Married,9,New Zealand,Europe,82236,2016-04-06,2018-03-19,20592,Fox LLC vVM_0297,PlayStation,Idle games,2015-12-14,Free,427.37,0.0,2683.47,2021-08-31 13:29:48
24999,2017-08-01,15755,Timothy Nelson,42,Female,morrisonsharon@hotmail.com,15000,Single,15,South Africa,Europe,43247,2017-02-08,2017-05-05,21868,Foster-Williams qAq_6063,Nitendo Switch,Idle games,2015-10-16,Free,104.23,0.0,244.64,2021-08-31 13:29:48
30913,2019-10-13,16550,Emily Berry,27,Female,evelyn84@yahoo.com,110000,Single,1,United States,North America,70982,2017-06-29,2019-08-06,21410,Miller PLC TXe_5111,SmartPhone/Tablet,Strategy games,2016-08-31,Free,375.16,0.0,3451.24,2021-08-31 13:29:48
78848,2019-03-24,16657,Christopher Abbott,6,Male,hodgeandrew@hotmail.com,8500,Single,14,Switzerland,Europe,87489,2017-08-29,2018-11-19,21761,Ball-Jenkins xaS_1059,Nitendo Switch,Strategy games,2017-01-25,Purchase,0.0,414.43,3312.36,2021-08-31 13:29:48
73682,2020-10-28,15836,Sharon Robertson,14,Female,duffyamanda@gmail.com,3500,Single,15,South Africa,Europe,16791,2018-01-21,2020-06-22,20500,Castillo Inc kPq_3136,PC,Puzzle games,2016-10-17,Purchase,0.0,483.82,972.3,2021-08-31 13:29:48
14503,2018-01-22,15961,Brett Avery,32,Male,kingfrank@yahoo.com,110000,Single,7,United Kingdom,Europe,12289,2015-12-03,2017-11-22,21444,Miller-Mann yzO_4745,PC,Sports games,2015-04-21,Purchase,0.0,886.94,4880.8,2021-08-31 13:29:48
1046,2017-11-24,15674,Joseph Sherman,35,Male,kevin84@hotmail.com,180000,Married,7,United Kingdom,Europe,17754,2017-04-10,2017-10-11,20741,Hughes Group Yie_9562,SmartPhone/Tablet,Simulation games,2016-02-21,Free,226.73,0.0,1085.91,2021-08-31 13:29:48
32632,2018-02-08,16125,Patrick Kennedy,36,Male,penny79@yahoo.com,105000,Married,10,Norway,Europe,61280,2015-02-14,2017-12-28,21005,"Skinner, Gregory and Allison sUM_4868",SmartPhone/Tablet,Strategy games,2015-01-25,Purchase,0.0,253.16,673.06,2021-08-31 13:29:48
23857,2020-11-07,16071,Amber Hester,29,Female,along@hotmail.com,165000,Single,9,New Zealand,Europe,10328,2016-05-08,2020-05-26,21731,Parker-Willis RRq_1254,SmartPhone/Tablet,Puzzle games,2016-04-10,Free,117.26,0.0,1776.03,2021-08-31 13:29:48
27439,2019-11-04,16607,Michael Knight,40,Male,bclark@hotmail.com,125000,Married,4,Australia,Australia,61097,2018-03-04,2019-09-24,21817,"Montgomery, Foley and Garrett het_4854",PC,Action-adventure games,2015-11-04,Purchase,0.0,307.97,61.84,2021-08-31 13:29:48
74985,2018-12-31,16090,Rebecca Anderson,52,Male,nancykoch@yahoo.com,85000,Single,6,Hong Kong,Asia,31621,2016-11-17,2018-11-06,20526,Johnson-Anderson rHq_2148,Nitendo Switch,Sports games,2016-10-31,Free,201.34,0.0,271.19,2021-08-31 13:29:48
43817,2018-04-28,16744,Ricky Kim,12,Male,sbarber@hotmail.com,4000,Single,8,Canada,Europe,12410,2016-10-12,2018-01-11,21397,Hudson PLC fya_0011,PlayStation,Sports games,2015-04-14,Purchase,0.0,638.56,4720.85,2021-08-31 13:29:48
11017,2019-03-07,16092,Travis Woods,51,Female,johnmartinez@yahoo.com,15000,Single,17,Sweden,Europe,42048,2018-06-27,2018-09-18,20395,Lynch-Graves QDc_7831,SmartPhone/Tablet,Action games,2016-01-15,Free,190.57,0.0,957.36,2021-08-31 13:29:48
52019,2017-12-08,16483,Sean Olson,26,Female,arobles@hotmail.com,100000,Married,9,New Zealand,Europe,22126,2016-08-05,2017-08-31,21113,"Reynolds, Decker and Castillo opv_8779",PlayStation,Sports games,2015-11-17,Free,84.77,0.0,3446.92,2021-08-31 13:29:48
38522,2017-09-25,16374,Michael Ward,26,Male,lucassandra@hotmail.com,65000,Married,3,Taiwan,Asia,64289,2016-03-20,2017-08-04,20328,"Carey, Garcia and Shaffer dke_8024",Xbox,Action games,2015-08-05,Purchase,0.0,621.71,4807.1,2021-08-31 13:29:48
26967,2017-07-01,16361,Dustin Owens,13,Female,christopher22@hotmail.com,8000,Single,1,United States,North America,36032,2016-07-19,2017-04-27,20231,Brown PLC LRN_4647,SmartPhone/Tablet,Action games,2015-01-28,Free,214.93,0.0,3808.91,2021-08-31 13:29:48
21483,2017-07-30,15808,Steven Barnes MD,10,Male,pgarcia@hotmail.com,3500,Single,18,France,Europe,00939,2016-02-22,2017-06-05,20628,Garrett-Ellison Bjj_2032,Xbox,Role-playing games,2015-06-16,Free,142.81,0.0,1305.43,2021-08-31 13:29:48
11294,2020-10-07,16013,Victoria Boyle,24,Male,neil90@yahoo.com,65000,Single,3,Taiwan,Asia,04519,2020-02-01,2020-06-26,20700,"Davenport, Ramos and Hamilton eVV_1950",PlayStation,Role-playing games,2019-02-04,Free,407.28,0.0,2006.16,2021-08-31 13:29:48
46335,2020-12-20,15910,Alan Spears DVM,41,Male,vweber@hotmail.com,145000,Single,4,Australia,Australia,83974,2019-05-08,2020-10-29,20269,"Dominguez, House and Williams eVk_8125",Xbox,Idle games,2018-05-08,Purchase,0.0,850.7,1345.81,2021-08-31 13:29:48
86779,2017-04-19,16868,Denise Gonzales,23,Male,dmcgee@yahoo.com,135000,Single,7,United Kingdom,Europe,14578,2015-12-24,2016-12-10,21848,"Murphy, Hahn and Ibarra efq_4341",Nitendo Switch,Action games,2015-05-16,Purchase,0.0,993.34,3619.11,2021-08-31 13:29:48
29842,2018-02-21,16053,Larry Robles,47,Male,abrowning@gmail.com,95000,Single,12,China,Asia,96533,2015-08-04,2017-10-21,21150,Martinez-Patterson vmY_0194,SmartPhone/Tablet,Puzzle games,2015-04-09,Purchase,0.0,818.72,2302.22,2021-08-31 13:29:48
87775,2017-12-13,15749,Dustin Hoffman,56,Female,prattmolly@hotmail.com,155000,Single,4,Australia,Australia,05572,2015-04-16,2017-08-14,21598,"Bruce, Jackson and Warren NOe_3657",PlayStation,Simulation games,2015-04-04,Purchase,0.0,637.88,3045.28,2021-08-31 13:29:48
64650,2019-07-02,16701,Aaron Frank,40,Male,jordankaylee@gmail.com,95000,Married,18,France,Europe,28135,2016-07-10,2019-04-14,21092,"Garcia, Carroll and Miller gHr_2700",Nitendo Switch,Idle games,2015-08-16,Free,351.19,0.0,4298.83,2021-08-31 13:29:48
76219,2017-01-05,16625,Susan Richardson,55,Male,rogersariana@hotmail.com,130000,Single,3,Taiwan,Asia,02531,2015-04-18,2016-08-06,21796,"Price, Parker and Brown ieD_5231",PlayStation,Puzzle games,2015-01-22,Purchase,0.0,140.87,3694.24,2021-08-31 13:29:48
10543,2020-04-06,16193,Heidi Hernandez,50,Male,poolejennifer@hotmail.com,100000,Single,19,United Arab Emirates,Asia,81051,2016-12-21,2019-10-16,20709,Ross and Sons Qej_4021,PC,Adventure games,2016-05-10,Free,298.76,0.0,937.54,2021-08-31 13:29:48
17890,2020-12-30,16359,Alexandra Burke,40,Male,jennifer05@hotmail.com,10000,Married,4,Australia,Australia,49012,2018-07-11,2020-07-14,20653,Fisher-Bartlett MXG_4456,SmartPhone/Tablet,Strategy games,2018-06-28,Free,308.57,0.0,2620.6,2021-08-31 13:29:48
11290,2019-09-28,16986,Jacob Johnson,50,Male,james87@hotmail.com,35000,Single,1,United States,North America,63715,2017-12-18,2019-05-11,21208,"Anderson, Roberts and Cook vbE_6746",PlayStation,Role-playing games,2017-01-06,Purchase,0.0,795.41,3246.83,2021-08-31 13:29:48
48812,2019-09-27,16481,Linda Beck,55,Female,ujohnson@hotmail.com,45000,Single,20,Ireland,Europe,72813,2017-12-01,2019-07-26,21745,Smith Ltd cla_0809,PlayStation,Idle games,2015-11-24,Free,67.15,0.0,3323.37,2021-08-31 13:29:48
62120,2019-08-11,15916,Brendan Gibson,20,Female,ososa@gmail.com,185000,Married,18,France,Europe,23344,2018-01-01,2019-03-04,20922,Jones-Myers Nns_9927,PlayStation,Puzzle games,2015-02-21,Free,126.96,0.0,4082.86,2021-08-31 13:29:48
69909,2019-01-13,16247,Corey Long,13,Male,osbornmason@hotmail.com,5000,Single,4,Australia,Australia,25806,2016-12-21,2018-09-17,21258,Hunt PLC lZk_0616,SmartPhone/Tablet,Strategy games,2016-11-29,Purchase,0.0,410.75,3971.2,2021-08-31 13:29:48
11063,2018-05-05,16989,Crystal Henry,58,Female,ktran@yahoo.com,145000,Single,14,Switzerland,Europe,88318,2016-05-05,2018-03-22,21564,"Randolph, Lucas and Liu Bca_0486",PC,Puzzle games,2016-05-03,Free,492.7,0.0,2901.58,2021-08-31 13:29:48
87722,2019-05-24,16234,Manuel Ramirez,55,Female,nmartinez@gmail.com,45000,Single,11,Germany,Europe,01811,2017-10-19,2019-01-07,21094,"Allen, Chapman and Taylor Ika_4644",Xbox,Action-adventure games,2015-05-14,Free,140.63,0.0,1635.65,2021-08-31 13:29:48
17891,2018-05-16,16420,Andrew Simmons,53,Female,truiz@yahoo.com,145000,Married,20,Ireland,Europe,13107,2016-10-20,2018-01-31,21157,Henry-Hogan vQb_1243,Nitendo Switch,Role-playing games,2015-12-21,Free,373.65,0.0,3375.69,2021-08-31 13:29:48
51564,2020-10-02,17005,Thomas Fitzgerald,20,Male,swhite@hotmail.com,90000,Married,3,Taiwan,Asia,25766,2019-11-26,2020-06-30,21847,"Anderson, Willis and Wilkins tgA_7610",Xbox,Adventure games,2015-06-11,Free,141.74,0.0,4764.54,2021-08-31 13:29:48
56027,2017-11-11,15798,Anthony Reed,60,Male,alejandrasanford@yahoo.com,35000,Married,7,United Kingdom,Europe,33534,2016-01-30,2017-06-07,21460,"Webster, Ortiz and Fisher VZr_9027",Xbox,Puzzle games,2015-12-04,Free,161.43,0.0,4308.25,2021-08-31 13:29:48
42407,2020-11-11,16027,Dawn Richards,60,Female,joseph70@yahoo.com,105000,Single,15,South Africa,Europe,23263,2018-02-14,2020-07-04,21577,"Shea, Burns and Elliott ldy_7226",SmartPhone/Tablet,Role-playing games,2016-10-05,Purchase,0.0,858.51,3246.75,2021-08-31 13:29:48
66440,2020-05-18,15788,Mary Sharp,31,Female,dvelazquez@hotmail.com,60000,Married,15,South Africa,Europe,59961,2017-03-17,2020-03-15,21022,Price Ltd dWc_8083,SmartPhone/Tablet,Adventure games,2016-05-10,Purchase,0.0,906.5,783.14,2021-08-31 13:29:48
69132,2019-04-18,16360,Nicole Arnold,56,Female,connerjulie@gmail.com,195000,Single,7,United Kingdom,Europe,53607,2017-05-16,2019-01-31,21380,Kennedy LLC QTC_4403,PC,Puzzle games,2016-03-07,Free,224.31,0.0,2171.92,2021-08-31 13:29:48
44244,2018-08-29,16541,Catherine Adams,5,Male,simmonslaura@hotmail.com,4500,Single,20,Ireland,Europe,72075,2016-12-14,2018-03-18,21340,Wallace PLC PeF_7860,PC,Role-playing games,2015-01-21,Purchase,0.0,583.5,1273.97,2021-08-31 13:29:48
80469,2018-03-15,16438,Karla Johnson,38,Female,jeremypowell@hotmail.com,50000,Married,7,United Kingdom,Europe,26488,2015-11-19,2017-10-23,21724,Riggs and Sons Fjd_7005,PlayStation,Sports games,2015-08-18,Free,198.82,0.0,1053.86,2021-08-31 13:29:48
79193,2019-05-13,15811,Jonathan Mcgrath,36,Female,jason05@hotmail.com,90000,Single,12,China,Asia,57972,2015-10-18,2018-11-22,20815,Garcia and Sons RAh_2521,PlayStation,Simulation games,2015-06-21,Purchase,0.0,353.71,4404.33,2021-08-31 13:29:48
66699,2019-04-27,16885,Christopher Velez,16,Female,leecharles@yahoo.com,1500,Single,12,China,Asia,19872,2018-03-08,2018-12-09,20619,"Riddle, Thompson and Lucero HqR_1721",Xbox,Simulation games,2016-11-16,Free,101.4,0.0,3636.51,2021-08-31 13:29:48
450,2019-05-04,16705,Andrea Reynolds,27,Female,ycarter@yahoo.com,70000,Married,11,Germany,Europe,27370,2017-08-20,2019-04-01,21299,Cole-May XLs_9316,PlayStation,Action-adventure games,2015-10-07,Free,210.46,0.0,25.49,2021-08-31 13:29:48
74806,2019-08-26,15864,Sheri Collins,55,Male,christopher12@yahoo.com,110000,Single,19,United Arab Emirates,Asia,23820,2019-01-17,2019-07-18,21694,"Wong, Reed and Edwards dJe_1662",PlayStation,Action-adventure games,2015-11-20,Free,214.59,0.0,4883.3,2021-08-31 13:29:48
45035,2019-12-03,16180,Debbie Hunt,17,Male,jessica88@yahoo.com,1000,Single,3,Taiwan,Asia,80190,2018-10-15,2019-10-22,20822,Mathews-Harris jyI_5351,Nitendo Switch,Action games,2018-01-06,Purchase,0.0,255.2,965.54,2021-08-31 13:29:48
85464,2020-11-01,16166,Lori Ramirez,57,Male,orozcobenjamin@hotmail.com,90000,Single,10,Norway,Europe,28562,2016-04-17,2020-05-29,20512,Hartman Ltd hUd_7323,PC,Action-adventure games,2015-03-04,Free,320.35,0.0,4211.49,2021-08-31 13:29:48
56923,2019-07-15,16231,Tracy Durham,36,Female,jamesreese@hotmail.com,65000,Single,4,Australia,Australia,62112,2015-11-09,2019-03-26,21136,Mcclain-Green mQx_1390,PlayStation,Role-playing games,2015-10-01,Free,142.83,0.0,1524.25,2021-08-31 13:29:48
64787,2019-08-30,16889,Glenn Daniels,35,Female,carrie20@hotmail.com,165000,Single,3,Taiwan,Asia,24480,2015-11-30,2019-07-01,21862,"Bennett, Maldonado and Carlson amT_9757",Xbox,Role-playing games,2015-04-26,Purchase,0.0,862.26,3957.36,2021-08-31 13:29:48
70546,2019-02-18,16470,Jasmine Gallagher,24,Female,fadams@hotmail.com,155000,Married,4,Australia,Australia,19963,2017-09-11,2018-09-23,20644,Miller-Garner NSs_6626,PC,Adventure games,2016-06-24,Free,294.54,0.0,2299.74,2021-08-31 13:29:48
17028,2018-01-17,16672,James Hamilton,50,Male,jerrygomez@hotmail.com,60000,Married,10,Norway,Europe,47442,2016-04-16,2017-10-26,20376,"Washington, Adams and Livingston lDT_6909",SmartPhone/Tablet,Sports games,2016-01-25,Purchase,0.0,224.39,3398.9,2021-08-31 13:29:48
57576,2019-01-24,15712,Mark Mercer,19,Female,peter98@yahoo.com,200000,Married,13,Singapore,Asia,86639,2017-12-23,2018-10-25,21307,Schwartz Ltd QTA_3921,PlayStation,Action games,2016-11-06,Purchase,0.0,826.7,1532.5,2021-08-31 13:29:48
84443,2017-08-18,16431,Elizabeth Hawkins,50,Male,meredithmcclure@yahoo.com,80000,Single,18,France,Europe,39936,2016-10-26,2017-02-24,20296,"Abbott, Compton and Parker pAN_8580",Nitendo Switch,Sports games,2015-01-27,Purchase,0.0,876.1,1511.57,2021-08-31 13:29:48
2306,2017-11-22,16366,Danielle Tran,7,Female,stantonkyle@hotmail.com,5500,Single,12,China,Asia,55330,2017-01-17,2017-09-07,21844,Hill PLC mIu_6572,PC,Role-playing games,2016-03-08,Free,151.38,0.0,2785.76,2021-08-31 13:29:48
26770,2020-07-13,15711,Peggy Greene,49,Female,gbeard@gmail.com,105000,Single,12,China,Asia,84476,2019-06-15,2020-05-09,20518,Lewis LLC MqG_4580,SmartPhone/Tablet,Simulation games,2018-06-09,Purchase,0.0,200.37,4871.67,2021-08-31 13:29:48
81094,2019-09-05,16879,Joshua Moran,18,Male,gregory73@yahoo.com,20000,Single,20,Ireland,Europe,68242,2018-09-27,2019-06-20,21004,"Rodgers, Hansen and Becker PYK_7929",SmartPhone/Tablet,Idle games,2015-06-25,Purchase,0.0,145.82,4930.79,2021-08-31 13:29:48
71217,2019-08-08,15714,Rebecca Crawford,26,Male,ilindsey@hotmail.com,50000,Single,4,Australia,Australia,86367,2018-04-04,2019-06-12,20949,Arellano-Roberts chs_2646,Xbox,Strategy games,2015-03-09,Free,13.26,0.0,3730.44,2021-08-31 13:29:48
12989,2020-08-30,16635,Mark Baker,15,Male,grahamronald@yahoo.com,4500,Single,12,China,Asia,17621,2019-10-02,2020-06-23,21766,Christensen LLC EDd_2385,Xbox,Role-playing games,2015-12-01,Free,39.35,0.0,1125.57,2021-08-31 13:29:48
45008,2020-03-25,16091,Rodney Gutierrez,11,Male,tara35@yahoo.com,1000,Single,4,Australia,Australia,76221,2017-08-17,2020-01-02,20439,Fowler and Sons TVB_1701,SmartPhone/Tablet,Action games,2016-10-24,Purchase,0.0,293.71,2014.42,2021-08-31 13:29:48
66087,2019-03-30,16166,Christopher Allen,50,Male,bonnie56@yahoo.com,45000,Married,3,Taiwan,Asia,81924,2017-12-15,2018-11-18,21109,"Rios, Wheeler and Stewart oVG_3281",PC,Puzzle games,2015-08-07,Free,252.64,0.0,69.46,2021-08-31 13:29:48
5575,2019-03-03,16237,Joseph Walker,56,Female,paige44@gmail.com,100000,Married,1,United States,North America,05798,2017-05-30,2019-01-11,21631,"Mcmahon, Hansen and Mills tbH_0664",Nitendo Switch,Simulation games,2016-11-21,Purchase,0.0,113.54,3540.68,2021-08-31 13:29:48
5872,2017-04-23,16656,Kathleen Andrews,43,Male,victoriasmith@hotmail.com,55000,Married,16,Denmark,Europe,36600,2015-08-30,2017-02-14,21178,Johnson LLC VNa_0346,SmartPhone/Tablet,Role-playing games,2015-08-04,Free,486.73,0.0,2354.21,2021-08-31 13:29:48
7889,2018-10-12,16813,Crystal Page,43,Male,elopez@hotmail.com,185000,Single,3,Taiwan,Asia,86691,2018-02-13,2018-08-13,20935,Armstrong-Dunn UfX_9300,PC,Action games,2015-10-19,Free,74.27,0.0,381.58,2021-08-31 13:29:48
79403,2018-11-05,16201,Catherine Griffin,54,Male,cookecody@gmail.com,80000,Married,18,France,Europe,71558,2016-11-20,2018-10-03,21446,"Smith, Pugh and Ferguson etx_4491",Nitendo Switch,Simulation games,2015-04-18,Free,488.51,0.0,2434.88,2021-08-31 13:29:48
47880,2020-06-21,15725,Brian Quinn,40,Male,ujohnson@hotmail.com,180000,Married,15,South Africa,Europe,03868,2019-12-24,2020-03-28,21644,Garcia-Martinez Rhf_9655,PC,Role-playing games,2016-03-30,Free,413.74,0.0,48.99,2021-08-31 13:29:48
79456,2018-11-15,15996,Charles Mckinney,29,Female,alvarezkristin@yahoo.com,15000,Single,4,Australia,Australia,87346,2017-10-03,2018-07-18,21364,Bates-Young whx_2622,PlayStation,Strategy games,2016-11-09,Purchase,0.0,100.79,765.19,2021-08-31 13:29:48
9124,2017-06-13,15667,Jennifer Acosta,7,Male,frazierlinda@yahoo.com,9000,Single,6,Hong Kong,Asia,08906,2016-04-14,2016-12-13,21387,"Love, Johnson and Williams NkT_9355",PC,Sports games,2015-02-26,Free,180.67,0.0,2544.23,2021-08-31 13:29:48
17356,2017-12-10,16338,John Guzman,37,Male,shawn04@yahoo.com,55000,Single,14,Switzerland,Europe,65670,2015-08-17,2017-10-14,21454,"Cooper, Woods and Gregory JUI_7038",Xbox,Adventure games,2015-05-21,Free,72.8,0.0,1347.65,2021-08-31 13:29:48
38889,2020-06-07,16507,Nicholas Richmond,48,Female,jesus97@yahoo.com,195000,Married,14,Switzerland,Europe,37104,2019-01-31,2020-05-05,21558,Aguirre Ltd qAY_6140,SmartPhone/Tablet,Idle games,2018-01-25,Purchase,0.0,822.52,3192.78,2021-08-31 13:29:48
83665,2019-07-22,16497,Stephen Price,5,Female,garycisneros@yahoo.com,4000,Single,15,South Africa,Europe,42058,2018-03-21,2019-04-19,21530,Hall-Smith BDE_4604,Nitendo Switch,Action-adventure games,2016-11-13,Purchase,0.0,879.31,3488.91,2021-08-31 13:29:48
72619,2019-11-01,15981,Christopher Joseph,60,Male,armstrongjames@yahoo.com,65000,Single,8,Canada,Europe,99804,2017-05-17,2019-09-19,20346,Campbell-Cox JVW_5661,Nitendo Switch,Puzzle games,2015-01-23,Free,241.45,0.0,354.42,2021-08-31 13:29:48
89311,2019-04-13,16476,Hannah Quinn,47,Male,myersrebecca@hotmail.com,165000,Married,17,Sweden,Europe,07928,2016-07-20,2018-11-29,20596,"Barnes, Roberts and Hayes WsW_3108",PlayStation,Puzzle games,2015-04-18,Purchase,0.0,608.61,964.76,2021-08-31 13:29:48
51174,2018-12-24,16099,Jessica Davis,52,Male,wmills@yahoo.com,110000,Married,16,Denmark,Europe,36560,2018-04-25,2018-07-05,21523,Dawson-Williams YfE_0437,PC,Strategy games,2015-05-09,Free,229.15,0.0,242.09,2021-08-31 13:29:48
83396,2018-07-02,16446,Roger Goodman,50,Female,haleyalan@yahoo.com,135000,Married,10,Norway,Europe,55261,2017-08-05,2018-02-23,20199,Lee-Turner SVa_2398,PlayStation,Simulation games,2015-09-30,Free,251.85,0.0,1349.27,2021-08-31 13:29:48
77474,2018-01-18,15718,Don Wolf,40,Female,brookstyler@hotmail.com,95000,Single,14,Switzerland,Europe,89481,2016-03-26,2017-10-26,21445,Barker LLC Pwt_0049,PlayStation,Action games,2015-06-19,Free,412.59,0.0,1939.72,2021-08-31 13:29:48
21428,2019-12-12,15712,Melissa Walker,40,Female,fmendoza@gmail.com,65000,Single,3,Taiwan,Asia,89453,2017-11-04,2019-06-28,20273,"Lee, Orozco and Wood ceF_2792",PC,Action-adventure games,2017-07-02,Free,423.8,0.0,3549.96,2021-08-31 13:29:48
28263,2017-01-01,16412,Ronald Waters,50,Male,royrobert@yahoo.com,70000,Single,15,South Africa,Europe,96944,2015-05-20,2016-10-03,21192,Ray-Thompson iES_0218,Xbox,Puzzle games,2015-01-16,Free,414.59,0.0,3631.07,2021-08-31 13:29:48
